"name","id","accuracy","power","pp","priority","target","type","description","damageclass","generation"
"switcheroo","415","100","","10","0","selected-pokemon","dark","The user trades held items with the target faster
than the eye can follow.","status","generation-iv"
"giga-impact","416","90","150","5","0","selected-pokemon","normal","The user charges at the target using every bit of its
power. The user can’t move on the next turn.","physical","generation-iv"
"nasty-plot","417","","","20","0","user","dark","The user stimulates its brain by thinking bad
thoughts. This sharply raises the user’s Sp. Atk stat.","status","generation-iv"
"bullet-punch","418","100","40","30","1","selected-pokemon","steel","The user strikes the target with tough punches as
fast as bullets. This move always goes first.","physical","generation-iv"
"avalanche","419","100","60","10","-4","selected-pokemon","ice","An attack move that inflicts double the
damage if the user has been hurt by the
target in the same turn.","physical","generation-iv"
"ice-shard","420","100","40","30","1","selected-pokemon","ice","The user flash-freezes chunks of ice and hurls them
at the target. This move always goes first.","physical","generation-iv"
"shadow-claw","421","100","70","15","0","selected-pokemon","ghost","The user slashes with
a sharp claw made
from shadows.
It has a high
critical-hit ratio.","physical","generation-iv"
"thunder-fang","422","95","65","15","0","selected-pokemon","electric","The user bites with electrified fangs. This may also
make the target flinch or leave it with paralysis.","physical","generation-iv"
"ice-fang","423","95","65","15","0","selected-pokemon","ice","The user bites with cold-infused fangs. This may
also make the target flinch or leave it frozen.","physical","generation-iv"
"fire-fang","424","95","65","15","0","selected-pokemon","fire","The user bites with flame-cloaked fangs. This may
also make the target flinch or leave it with a burn.","physical","generation-iv"
"shadow-sneak","425","100","40","30","1","selected-pokemon","ghost","The user extends its shadow and attacks the target
from behind. This move always goes first.","physical","generation-iv"
"mud-bomb","426","85","65","10","0","selected-pokemon","ground","The user launches a hard-packed mud ball to attack.
This may also lower the target’s accuracy.","special","generation-iv"
"psycho-cut","427","100","70","20","0","selected-pokemon","psychic","The user tears at the target with blades formed by
psychic power. Critical hits land more easily.","physical","generation-iv"
"zen-headbutt","428","90","80","15","0","selected-pokemon","psychic","The user focuses its willpower to its head and
attacks the target. This may also make the
target flinch.","physical","generation-iv"
"mirror-shot","429","85","65","10","0","selected-pokemon","steel","The user lets loose a flash of energy at the target
from its polished body. This may also lower the
target’s accuracy.","special","generation-iv"
"flash-cannon","430","100","80","10","0","selected-pokemon","steel","The user gathers all its light energy and releases it
all at once. This may also lower the target’s
Sp. Def stat.","special","generation-iv"
"rock-climb","431","85","90","20","0","selected-pokemon","normal","The user attacks the target by smashing into it with
incredible force. This may also confuse the target.","physical","generation-iv"
"defog","432","","","15","0","selected-pokemon","flying","A strong wind blows away the target’s barriers such
as Reflect or Light Screen. This also lowers the
target’s evasiveness.","status","generation-iv"
"trick-room","433","","","5","-7","entire-field","psychic","The user creates a bizarre area in which slower
Pokémon get to move first for five turns.","status","generation-iv"
"draco-meteor","434","90","130","5","0","selected-pokemon","dragon","Comets are summoned down from the sky
onto the target. The attack’s recoil
harshly reduces the user’s Sp. Atk stat.","special","generation-iv"
"discharge","435","100","80","15","0","all-other-pokemon","electric","The user strikes everything around it by letting loose
a flare of electricity. This may also cause paralysis.","special","generation-iv"
"lava-plume","436","100","80","15","0","all-other-pokemon","fire","The user torches everything around it in an inferno
of scarlet flames. This may also leave those it hits
with a burn.","special","generation-iv"
"leaf-storm","437","90","130","5","0","selected-pokemon","grass","The user whips up a storm of leaves around
the target. The attack’s recoil harshly
reduces the user’s Sp. Atk stat.","special","generation-iv"
"power-whip","438","85","120","10","0","selected-pokemon","grass","The user violently whirls its vines, tentacles, or the 
like to harshly lash the target.","physical","generation-iv"
"rock-wrecker","439","90","150","5","0","selected-pokemon","rock","The user launches a huge boulder at the
target to attack. It must rest on the
next turn, however.","physical","generation-iv"
"cross-poison","440","100","70","20","0","selected-pokemon","poison","A slashing attack with a poisonous blade
that may also leave the target poisoned.
Critical hits land more easily.","physical","generation-iv"
"gunk-shot","441","80","120","5","0","selected-pokemon","poison","The user shoots filthy garbage at the target to
attack. This may also poison the target.","physical","generation-iv"
"iron-head","442","100","80","15","0","selected-pokemon","steel","The user slams the target with its steel-hard head.
This may also make the target flinch.","physical","generation-iv"
"magnet-bomb","443","","60","20","0","selected-pokemon","steel","The user launches a
steel bomb that
sticks to the target.
This attack will not
miss.","physical","generation-iv"
"stone-edge","444","80","100","5","0","selected-pokemon","rock","The user stabs the target from below with
sharpened stones. Critical hits land more easily.","physical","generation-iv"
"captivate","445","100","","20","0","all-opponents","normal","If any opposing Pokémon is the opposite gender of
the user, it is charmed, which harshly lowers its
Sp. Atk stat.","status","generation-iv"
"stealth-rock","446","","","20","0","opponents-field","rock","The user lays a trap of levitating stones around the
opposing team. The trap hurts opposing Pokémon
that switch into battle.","status","generation-iv"
"grass-knot","447","100","","20","0","selected-pokemon","grass","The user snares the target with grass and trips it.
The heavier the target, the greater the
move’s power.","special","generation-iv"
"chatter","448","100","65","20","0","selected-pokemon","flying","The user attacks using a sound wave
based on words it has learned.
It may also confuse the target.","special","generation-iv"
"judgment","449","100","100","10","0","selected-pokemon","normal","The user releases countless shots of light at the
target. This move’s type varies depending on the
kind of Plate the user is holding.","special","generation-iv"
"bug-bite","450","100","60","20","0","selected-pokemon","bug","The user bites the target. If the target is holding a
Berry, the user eats it and gains its effect.","physical","generation-iv"
"charge-beam","451","90","50","10","0","selected-pokemon","electric","The user attacks with an electric charge. The user
may use any remaining electricity to raise its
Sp. Atk stat.","special","generation-iv"
"wood-hammer","452","100","120","15","0","selected-pokemon","grass","The user slams its rugged body into the target to
attack. This also damages the user quite a lot.","physical","generation-iv"
"aqua-jet","453","100","40","20","1","selected-pokemon","water","The user lunges at the target at a speed that makes
it almost invisible. This move always goes first.","physical","generation-iv"
"attack-order","454","100","90","15","0","selected-pokemon","bug","The user calls out its underlings to pummel the
target. Critical hits land more easily.","physical","generation-iv"
"defend-order","455","","","10","0","user","bug","The user calls out
its underlings to
make a living shield,
raising its Defense
and Sp. Def stats.","status","generation-iv"
"heal-order","456","","","10","0","user","bug","The user calls out its underlings to heal it. The user
regains up to half of its max HP.","status","generation-iv"
"head-smash","457","80","150","5","0","selected-pokemon","rock","The user attacks the target with a hazardous,
full-power headbutt. This also damages the
user terribly.","physical","generation-iv"
"double-hit","458","90","35","10","0","selected-pokemon","normal","The user slams the target with a long tail, vines, or a
tentacle. The target is hit twice in a row.","physical","generation-iv"
"roar-of-time","459","90","150","5","0","selected-pokemon","dragon","The user blasts the target with power that distorts
even time. The user can’t move on the next turn.","special","generation-iv"
"spacial-rend","460","95","100","5","0","selected-pokemon","dragon","The user tears the
foe along with the
space around it.
This move has a high
critical-hit ratio.","special","generation-iv"
"lunar-dance","461","","","10","0","user","psychic","The user faints. In return, the Pokémon taking its
place will have its status and HP fully restored.","status","generation-iv"
"crush-grip","462","100","","5","0","selected-pokemon","normal","The target is crushed with great force. The more HP
the target has left, the greater this move’s power.","physical","generation-iv"
"magma-storm","463","75","100","5","0","selected-pokemon","fire","The target becomes trapped within a maelstrom of
fire that rages for four to five turns.","special","generation-iv"
"dark-void","464","50","","10","0","all-opponents","dark","Opposing Pokémon are dragged into a world of total
darkness that makes them sleep.","status","generation-iv"
"seed-flare","465","85","120","5","0","selected-pokemon","grass","The user emits a shock wave from its body to attack
its target. This may also harshly lower the target’s
Sp. Def stat.","special","generation-iv"
"ominous-wind","466","100","60","5","0","selected-pokemon","ghost","The user blasts the target with a gust of repulsive
wind. This may also raise all the user’s stats at once.","special","generation-iv"
"shadow-force","467","100","120","5","0","selected-pokemon","ghost","The user disappears, then strikes the target on the
next turn. This move hits even if the target
protects itself.","physical","generation-iv"
"hone-claws","468","","","15","0","user","dark","The user sharpens its claws to boost its Attack stat
and accuracy.","status","generation-v"
"wide-guard","469","","","10","3","users-field","rock","The user and its allies are protected from
wide-ranging attacks for one turn. If used
in succession, its chance of failing rises.","status","generation-v"
"guard-split","470","","","10","0","selected-pokemon","psychic","The user employs its psychic power to
average its Defense and Sp. Def stats
with those of its target’s.","status","generation-v"
"power-split","471","","","10","0","selected-pokemon","psychic","The user employs its psychic power to
average its Attack and Sp. Atk stats
with those of the target’s.","status","generation-v"
"wonder-room","472","","","10","0","entire-field","psychic","The user creates a bizarre area in which Pokémon’s
Defense and Sp. Def stats are swapped for
five turns.","status","generation-v"
"psyshock","473","100","80","10","0","selected-pokemon","psychic","The user materializes an odd psychic wave to attack
the target. This attack does physical damage.","special","generation-v"
"venoshock","474","100","65","10","0","selected-pokemon","poison","The user drenches the target in a special poisonous
liquid. This move’s power is doubled if the target
is poisoned.","special","generation-v"
"autotomize","475","","","15","0","user","steel","The user sheds part of its body to make itself lighter
and sharply raise its Speed stat.","status","generation-v"
"rage-powder","476","","","20","2","user","bug","The user scatters a cloud of irritating powder to
draw attention to itself. Opponents aim only at
the user.","status","generation-v"
"telekinesis","477","","","15","0","selected-pokemon","psychic","The user makes the target float with its psychic
power. The target is easier to hit for three turns.","status","generation-v"
"magic-room","478","","","10","0","entire-field","psychic","The user creates a bizarre area in which Pokémon’s
held items lose their effects for five turns.","status","generation-v"
"smack-down","479","100","50","15","0","selected-pokemon","rock","The user throws a stone or similar projectile to
attack an opponent. A flying Pokémon will fall to the
ground when it’s hit.","physical","generation-v"
"storm-throw","480","100","60","10","0","selected-pokemon","fighting","The user strikes the target with a fierce blow. This
attack always results in a critical hit.","physical","generation-v"
"flame-burst","481","100","70","15","0","selected-pokemon","fire","The user attacks the target with a bursting flame.
The bursting flame damages Pokémon next to the
target as well.","special","generation-v"
"sludge-wave","482","100","95","10","0","all-other-pokemon","poison","The user strikes everything around it by swamping
the area with a giant sludge wave. This may also
poison those hit.","special","generation-v"
"quiver-dance","483","","","20","0","user","bug","The user lightly performs a beautiful, mystic dance.
This boosts the user’s Sp. Atk, Sp. Def, and
Speed stats.","status","generation-v"
"heavy-slam","484","100","","10","0","selected-pokemon","steel","The user slams into the target with its heavy body.
The more the user outweighs the target, the greater
the move’s power.","physical","generation-v"
"synchronoise","485","100","120","10","0","all-other-pokemon","psychic","Using an odd shock wave, the user inflicts damage
on any Pokémon of the same type in the area
around it.","special","generation-v"
"electro-ball","486","100","","10","0","selected-pokemon","electric","The user hurls an electric orb at the target. The
faster the user is than the target, the greater the
move’s power.","special","generation-v"
"soak","487","100","","20","0","selected-pokemon","water","The user shoots a torrent of water at the target and
changes the target’s type to Water.","status","generation-v"
"flame-charge","488","100","50","20","0","selected-pokemon","fire","Cloaking itself in flame, the user attacks. Then,
building up more power, the user raises its
Speed stat.","physical","generation-v"
"coil","489","","","20","0","user","poison","The user coils up and concentrates. This raises its
Attack and Defense stats as well as its accuracy.","status","generation-v"
"low-sweep","490","100","65","20","0","selected-pokemon","fighting","The user makes a swift attack on the target’s legs,
which lowers the target’s Speed stat.","physical","generation-v"
"acid-spray","491","100","40","20","0","selected-pokemon","poison","The user spits fluid that works to melt
the target. This harshly reduces
the target’s Sp. Def stat.","special","generation-v"
"foul-play","492","100","95","15","0","selected-pokemon","dark","The user turns the target’s power against it. The
higher the target’s Attack stat, the greater the
move’s power.","physical","generation-v"
"simple-beam","493","100","","15","0","selected-pokemon","normal","The user’s mysterious psychic wave changes the
target’s Ability to Simple.","status","generation-v"
"entrainment","494","100","","15","0","selected-pokemon","normal","The user dances with an odd rhythm that compels
the target to mimic it, making the target’s Ability
the same as the user’s.","status","generation-v"
"after-you","495","","","15","0","selected-pokemon","normal","The user helps the target and makes it use its move
right after the user.","status","generation-v"
"round","496","100","60","15","0","selected-pokemon","normal","The user attacks the target with a song.
Others can join in the Round and make
the attack do greater damage.","special","generation-v"
"echoed-voice","497","100","40","15","0","selected-pokemon","normal","The user attacks the target with an echoing voice.
If this move is used every turn, its power
is increased.","special","generation-v"
"chip-away","498","100","70","20","0","selected-pokemon","normal","Looking for an opening, the user strikes consistently.
The target’s stat changes don’t affect this
attack’s damage.","physical","generation-v"
"clear-smog","499","","50","15","0","selected-pokemon","poison","The user attacks by throwing a clump of
special mud. All status changes are
returned to normal.","special","generation-v"
"stored-power","500","100","20","10","0","selected-pokemon","psychic","The user attacks the target with stored power. The
more the user’s stats are raised, the greater the
move’s power.","special","generation-v"
"quick-guard","501","","","15","3","users-field","fighting","The user protects itself and its allies
from priority moves. If used in
succession, its chance of failing rises.","status","generation-v"
"ally-switch","502","","","15","2","user","psychic","The user teleports using a strange power
and switches its place with one of
its allies.","status","generation-v"
"scald","503","100","80","15","0","selected-pokemon","water","The user shoots boiling hot water at its target.
This may also leave the target with a burn.","special","generation-v"
"shell-smash","504","","","15","0","user","normal","The user breaks its shell, which lowers Defense and
Sp. Def stats but sharply raises its Attack, Sp. Atk,
and Speed stats.","status","generation-v"
"heal-pulse","505","","","10","0","selected-pokemon","psychic","The user emits a healing pulse which
restores the target’s HP by up to
half of its max HP.","status","generation-v"
"hex","506","100","65","10","0","selected-pokemon","ghost","This relentless attack does massive damage to a
target affected by status conditions.","special","generation-v"
"sky-drop","507","100","60","10","0","selected-pokemon","flying","The user takes the target into the sky, then drops it
during the next turn. The target cannot attack while
in the sky.","physical","generation-v"
"shift-gear","508","","","10","0","user","steel","The user rotates its gears, raising its Attack stat and
sharply raising its Speed stat.","status","generation-v"
"circle-throw","509","90","60","10","-6","selected-pokemon","fighting","The target is thrown, and a different Pokémon is
dragged out. In the wild, this ends a battle against
a single Pokémon.","physical","generation-v"
"incinerate","510","100","60","15","0","all-opponents","fire","The user attacks opposing Pokémon with fire.
If a Pokémon is holding a certain item, such as a
Berry, the item becomes burned up and unusable.","special","generation-v"
"quash","511","100","","15","0","selected-pokemon","dark","The user suppresses the target and makes its move
go last.","status","generation-v"
"acrobatics","512","100","55","15","0","selected-pokemon","flying","The user nimbly strikes the target. If the user is not
holding an item, this attack inflicts massive damage.","physical","generation-v"
"reflect-type","513","","","15","0","selected-pokemon","normal","The user reflects the target’s type, making it the
same type as the target.","status","generation-v"
"retaliate","514","100","70","5","0","selected-pokemon","normal","The user gets revenge for a fainted ally.
If an ally fainted in the previous turn,
this move becomes more powerful.","physical","generation-v"
"final-gambit","515","100","","5","0","selected-pokemon","fighting","The user risks everything to attack its
target. The user faints but does damage
equal to the user’s HP.","special","generation-v"
"bestow","516","","","15","0","selected-pokemon","normal","The user passes its held item to the target when the
target isn’t holding an item.","status","generation-v"
"inferno","517","50","100","5","0","selected-pokemon","fire","The user attacks by engulfing the target in an
intense fire. This leaves the target with a burn.","special","generation-v"
"water-pledge","518","100","80","10","0","selected-pokemon","water","A column of water strikes the target. When
combined with its fire equivalent, the
damage increases and a rainbow appears.","special","generation-v"
"fire-pledge","519","100","80","10","0","selected-pokemon","fire","A column of fire hits the target. When used with
its grass equivalent, its damage increases and
a vast sea of fire appears.","special","generation-v"
"grass-pledge","520","100","80","10","0","selected-pokemon","grass","A column of grass hits the target. When used with
its water equivalent, its damage increases and
a vast swamp appears.","special","generation-v"
"volt-switch","521","100","70","20","0","selected-pokemon","electric","After making its attack, the user rushes back to
switch places with a party Pokémon in waiting.","special","generation-v"
"struggle-bug","522","100","50","20","0","all-opponents","bug","While resisting, the user attacks the opposing
Pokémon. This lowers the Sp. Atk stat of those hit.","special","generation-v"
"bulldoze","523","100","60","20","0","all-other-pokemon","ground","The user strikes everything around it by stomping
down on the ground. This lowers the Speed stat of
those hit.","physical","generation-v"
"frost-breath","524","90","60","10","0","selected-pokemon","ice","The user blows its cold breath on the target. This
attack always results in a critical hit.","special","generation-v"
"dragon-tail","525","90","60","10","-6","selected-pokemon","dragon","The target is knocked away, and a different Pokémon
is dragged out. In the wild, this ends a battle against
a single Pokémon.","physical","generation-v"
"work-up","526","","","30","0","user","normal","The user is roused, and its Attack and Sp. Atk
stats increase.","status","generation-v"
"electroweb","527","95","55","15","0","all-opponents","electric","The user captures and attacks opposing
Pokémon by using an electric net. It
reduces the targets’ Speed stat.","special","generation-v"
"wild-charge","528","100","90","15","0","selected-pokemon","electric","The user shrouds itself in electricity and smashes
into its target. This also damages the user a little.","physical","generation-v"
"drill-run","529","95","80","10","0","selected-pokemon","ground","The user crashes into its target while rotating its
body like a drill. Critical hits land more easily.","physical","generation-v"
"dual-chop","530","90","40","15","0","selected-pokemon","dragon","The user attacks its target by hitting it with brutal
strikes. The target is hit twice in a row.","physical","generation-v"
"heart-stamp","531","100","60","25","0","selected-pokemon","psychic","The user unleashes a vicious blow after its cute act
makes the target less wary. This may also make the
target flinch.","physical","generation-v"
"horn-leech","532","100","75","10","0","selected-pokemon","grass","The user drains the target’s energy with its horns.
The user’s HP is restored by half the damage taken
by the target.","physical","generation-v"
"sacred-sword","533","100","90","15","0","selected-pokemon","fighting","The user attacks by slicing with its long
horns. The target’s stat changes
don’t affect this attack’s damage.","physical","generation-v"
"razor-shell","534","95","75","10","0","selected-pokemon","water","The user cuts its target with sharp
shells. This attack may also lower the
target’s Defense stat.","physical","generation-v"
"heat-crash","535","100","","10","0","selected-pokemon","fire","The user slams its target with its flame-
covered body. The more the user outweighs
the target, the greater the move’s power.","physical","generation-v"
"leaf-tornado","536","90","65","10","0","selected-pokemon","grass","The user attacks its target by encircling it in sharp
leaves. This attack may also lower the
target’s accuracy.","special","generation-v"
"steamroller","537","100","65","20","0","selected-pokemon","bug","The user crushes its target by rolling over the target
with its rolled-up body. This may also make the
target flinch.","physical","generation-v"
"cotton-guard","538","","","10","0","user","grass","The user protects itself by wrapping its body in soft
cotton, which drastically raises the user’s
Defense stat.","status","generation-v"
"night-daze","539","95","85","10","0","selected-pokemon","dark","The user lets loose a pitch-black shock wave at its
target. This may also lower the target’s accuracy.","special","generation-v"
"psystrike","540","100","100","10","0","selected-pokemon","psychic","The user materializes an odd psychic wave to attack
the target. This attack does physical damage.","special","generation-v"
"tail-slap","541","85","25","10","0","selected-pokemon","normal","The user attacks by striking the target with its hard
tail. It hits the target two to five times in a row.","physical","generation-v"
"hurricane","542","70","110","10","0","selected-pokemon","flying","The user attacks by wrapping its opponent in a
fierce wind that flies up into the sky. This may also
confuse the target.","special","generation-v"
"head-charge","543","100","120","15","0","selected-pokemon","normal","The user charges its head into its target, using its
powerful guard hair. This also damages the user
a little.","physical","generation-v"
"gear-grind","544","85","50","15","0","selected-pokemon","steel","The user attacks by throwing steel gears at its
target twice.","physical","generation-v"
"searing-shot","545","100","100","5","0","all-other-pokemon","fire","The user torches everything around it in an inferno
of scarlet flames. This may also leave those it hits
with a burn.","special","generation-v"
"techno-blast","546","100","120","5","0","selected-pokemon","normal","The user fires a beam of light at its target. The
move’s type changes depending on the Drive the
user holds.","special","generation-v"
"relic-song","547","100","75","10","0","all-opponents","normal","The user sings an ancient song and attacks by
appealing to the hearts of the listening opposing
Pokémon. This may also induce sleep.","special","generation-v"
"secret-sword","548","100","85","10","0","selected-pokemon","fighting","The user cuts with its long horn. The odd power
contained in the horn does physical damage to
the target.","special","generation-v"
"glaciate","549","95","65","10","0","all-opponents","ice","The user attacks by blowing freezing cold
air at opposing Pokémon. This attack
reduces the targets’ Speed stat.","special","generation-v"
"bolt-strike","550","85","130","5","0","selected-pokemon","electric","The user surrounds itself with a great amount of
electricity and charges its target. This may also
leave the target with paralysis.","physical","generation-v"
"blue-flare","551","85","130","5","0","selected-pokemon","fire","The user attacks by engulfing the target in an
intense, yet beautiful, blue flame. This may also leave
the target with a burn.","special","generation-v"
"fiery-dance","552","100","80","10","0","selected-pokemon","fire","Cloaked in flames, the user dances and flaps its
wings. This may also raise the user’s Sp. Atk stat.","special","generation-v"
"freeze-shock","553","90","140","5","0","selected-pokemon","ice","On the second turn, the user hits the target with
electrically charged ice. This may also leave the
target with paralysis.","physical","generation-v"
"ice-burn","554","90","140","5","0","selected-pokemon","ice","On the second turn, an ultracold, freezing wind
surrounds the target. This may leave the target with
a burn.","special","generation-v"
"snarl","555","95","55","15","0","all-opponents","dark","The user yells as if it’s ranting about something,
which lowers the Sp. Atk stat of opposing Pokémon.","special","generation-v"
"icicle-crash","556","90","85","10","0","selected-pokemon","ice","The user attacks by harshly dropping large icicles
onto the target. This may also make the target flinch.","physical","generation-v"
"v-create","557","95","180","5","0","selected-pokemon","fire","With a hot flame on its forehead, the user hurls itself
at its target. This lowers the user’s Defense, Sp. Def,
and Speed stats.","physical","generation-v"
"fusion-flare","558","100","100","5","0","selected-pokemon","fire","The user brings down a giant flame. This move’s
power is increased when influenced by an enormous
lightning bolt.","special","generation-v"
"fusion-bolt","559","100","100","5","0","selected-pokemon","electric","The user throws down a giant lightning bolt. This
move’s power is increased when influenced by an
enormous flame.","physical","generation-v"
"flying-press","560","95","100","10","0","selected-pokemon","fighting","The user dives down onto the target from the sky.
This move is Fighting and Flying type simultaneously.","physical","generation-vi"
"mat-block","561","","","10","0","users-field","fighting","Using a pulled-up mat as a shield, the user protects
itself and its allies from damaging moves. This does
not stop status moves.","status","generation-vi"
"belch","562","90","120","10","0","selected-pokemon","poison","The user lets out a damaging belch at the target.
The user must eat a held Berry to use this move.","special","generation-vi"
"rototiller","563","","","10","0","all-pokemon","ground","Tilling the soil, the user makes it easier for plants to
grow. This raises the Attack and Sp. Atk stats of
Grass-type Pokémon.","status","generation-vi"
"sticky-web","564","","","20","0","opponents-field","bug","The user weaves a sticky net around the opposing
team, which lowers their Speed stat upon switching
into battle.","status","generation-vi"
"fell-stinger","565","100","50","25","0","selected-pokemon","bug","When the user knocks out a target with this move,
the user’s Attack stat rises drastically.","physical","generation-vi"
"phantom-force","566","100","90","10","0","selected-pokemon","ghost","The user vanishes somewhere, then strikes the
target on the next turn. This move hits even if the
target protects itself.","physical","generation-vi"
"trick-or-treat","567","100","","20","0","selected-pokemon","ghost","The user takes the target trick-or-treating.
This adds Ghost type to the target’s type.","status","generation-vi"
"noble-roar","568","100","","30","0","selected-pokemon","normal","Letting out a noble roar, the user intimidates the
target and lowers its Attack and Sp. Atk stats.","status","generation-vi"
"ion-deluge","569","","","25","1","entire-field","electric","The user disperses electrically charged particles,
which changes Normal-type moves to
Electric-type moves.","status","generation-vi"
"parabolic-charge","570","100","65","20","0","all-other-pokemon","electric","The user attacks everything around it. The user’s HP
is restored by half the damage taken by those hit.","special","generation-vi"
"forests-curse","571","100","","20","0","selected-pokemon","grass","The user puts a forest curse on the target.
Afflicted targets are now Grass type as well.","status","generation-vi"
"petal-blizzard","572","100","90","15","0","all-other-pokemon","grass","The user stirs up a violent petal blizzard and attacks
everything around it.","physical","generation-vi"
"freeze-dry","573","100","70","20","0","selected-pokemon","ice","The user rapidly cools the target. This may also
leave the target frozen. This move is super effective
on Water types.","special","generation-vi"
"disarming-voice","574","","40","15","0","all-opponents","fairy","Letting out a charming cry, the user does emotional
damage to opposing Pokémon. This attack
never misses.","special","generation-vi"
"parting-shot","575","100","","20","0","selected-pokemon","dark","With a parting threat, the user lowers the target’s
Attack and Sp. Atk stats. Then it switches with a
party Pokémon.","status","generation-vi"
"topsy-turvy","576","","","20","0","selected-pokemon","dark","All stat changes affecting the target turn
topsy-turvy and become the opposite of what
they were.","status","generation-vi"
"draining-kiss","577","100","50","10","0","selected-pokemon","fairy","The user steals the target’s energy with a kiss.
The user’s HP is restored by over half
of the damage taken by the target.","special","generation-vi"
"crafty-shield","578","","","10","3","users-field","fairy","The user protects itself and its allies from status
moves with a mysterious power. This does not stop
moves that do damage.","status","generation-vi"
"flower-shield","579","","","10","0","all-pokemon","fairy","The user raises the Defense stat of all Grass-type
Pokémon in battle with a mysterious power.","status","generation-vi"
"grassy-terrain","580","","","10","0","entire-field","grass","The user turns the ground to grass for five turns.
This restores the HP of Pokémon on the ground a
little every turn and powers up Grass type-moves.","status","generation-vi"
"misty-terrain","581","","","10","0","entire-field","fairy","The user covers the ground under everyone’s feet
with mist for five turns. This protects Pokémon
on the ground from status conditions.","status","generation-vi"
"electrify","582","","","20","0","selected-pokemon","electric","If the target is electrified before it uses a move
during that turn, the target’s move becomes
Electric type.","status","generation-vi"
"play-rough","583","90","90","10","0","selected-pokemon","fairy","The user plays rough with the target and attacks it.
This may also lower the target’s Attack stat.","physical","generation-vi"
"fairy-wind","584","100","40","30","0","selected-pokemon","fairy","The user stirs up a fairy wind and strikes the target
with it.","special","generation-vi"
"moonblast","585","100","95","15","0","selected-pokemon","fairy","Borrowing the power of the moon, the user attacks
the target. This may also lower the target’s
Sp. Atk stat.","special","generation-vi"
"boomburst","586","100","140","10","0","all-other-pokemon","normal","The user attacks everything around it with the
destructive power of a terrible, explosive sound.","special","generation-vi"
"fairy-lock","587","","","10","0","entire-field","fairy","By locking down the battlefield, the user keeps all
Pokémon from fleeing during the next turn.","status","generation-vi"
"kings-shield","588","","","10","4","user","steel","The user takes a defensive stance while it protects
itself from damage. It also harshly lowers the Attack
stat of any attacker who makes direct contact.","status","generation-vi"
"play-nice","589","","","20","0","selected-pokemon","normal","The user and the target become friends, and the
target loses its will to fight. This lowers the target’s
Attack stat.","status","generation-vi"
"confide","590","","","20","0","selected-pokemon","normal","The user tells the target a secret, and the target
loses its ability to concentrate. This lowers
the target’s Sp. Atk stat.","status","generation-vi"
"diamond-storm","591","95","100","5","0","all-opponents","rock","The user whips up a storm of diamonds to damage
opposing Pokémon. This may also sharply raise the
user’s Defense stat.","physical","generation-vi"
"steam-eruption","592","95","110","5","0","selected-pokemon","water","The user immerses the target in superheated steam.
This may also leave the target with a burn.","special","generation-vi"
"hyperspace-hole","593","","80","5","0","selected-pokemon","psychic","Using a hyperspace hole, the user appears right
next to the target and strikes. This also hits a target
using a move such as Protect or Detect.","special","generation-vi"
"water-shuriken","594","100","15","20","1","selected-pokemon","water","The user hits the target with throwing stars two to
five times in a row. This move always goes first.","special","generation-vi"
"mystical-fire","595","100","75","10","0","selected-pokemon","fire","The user attacks by breathing a special, hot fire.
This also lowers the target’s Sp. Atk stat.","special","generation-vi"
"spiky-shield","596","","","10","4","user","grass","In addition to protecting the user from attacks, this
move also damages any attacker who makes
direct contact.","status","generation-vi"
"aromatic-mist","597","","","20","0","ally","fairy","The user raises the Sp. Def stat of an ally Pokémon
by using a mysterious aroma.","status","generation-vi"
"eerie-impulse","598","100","","15","0","selected-pokemon","electric","The user’s body generates an eerie impulse.
Exposing the target to it harshly lowers the target’s
Sp. Atk stat.","status","generation-vi"
"venom-drench","599","100","","20","0","all-opponents","poison","Opposing Pokémon are drenched in an odd
poisonous liquid. This lowers the Attack, Sp. Atk, and
Speed stats of a poisoned target.","status","generation-vi"
"powder","600","100","","20","1","selected-pokemon","bug","The user covers the target in a combustible powder.
If the target uses a Fire-type move, the powder
explodes and damages the target.","status","generation-vi"
"geomancy","601","","","10","0","user","fairy","The user absorbs energy and sharply raises its
Sp. Atk, Sp. Def, and Speed stats on the next turn.","status","generation-vi"
"magnetic-flux","602","","","20","0","user-and-allies","electric","The user manipulates magnetic fields, which raises
the Defense and Sp. Def stats of ally Pokémon with
the Plus or Minus Ability.","status","generation-vi"
"happy-hour","603","","","30","0","users-field","normal","Using Happy Hour doubles the amount of prize
money received after battle.","status","generation-vi"
"electric-terrain","604","","","10","0","entire-field","electric","The user electrifies the ground for five turns,
powering up Electric-type moves. Pokémon on the
ground no longer fall asleep.","status","generation-vi"
"dazzling-gleam","605","100","80","10","0","all-opponents","fairy","The user damages opposing Pokémon by emitting a
powerful flash.","special","generation-vi"
"celebrate","606","","","40","0","user","normal","The Pokémon congratulates you on your special day!","status","generation-vi"
"hold-hands","607","","","40","0","ally","normal","The user and an ally hold hands. This makes them
very happy.","status","generation-vi"
"baby-doll-eyes","608","100","","30","1","selected-pokemon","fairy","The user stares at the target with its baby-doll
eyes, which lowers its Attack stat. This move always
goes first.","status","generation-vi"
"nuzzle","609","100","20","20","0","selected-pokemon","electric","The user attacks by nuzzling its electrified cheeks
against the target. This also leaves the target
with paralysis.","physical","generation-vi"
"hold-back","610","100","40","40","0","selected-pokemon","normal","The user holds back when it attacks, and the target
is left with at least 1 HP.","physical","generation-vi"
